t_seconds,rss_mb
0.021,368.59
0.287,368.62
0.552,368.62
0.818,368.62
1.083,368.62
1.348,368.62
1.613,383.95
1.878,399.64
2.143,413.47
2.407,437.73
2.672,443.46
2.941,452.31
3.206,452.41
3.475,434.85
3.737,434.89
4.002,434.89
4.269,434.89
4.535,434.89
4.802,434.89
5.069,434.89
5.335,434.89
5.602,434.89
5.867,434.89
6.133,434.89
6.400,434.89
6.664,434.89
6.933,434.89
7.200,434.89
7.471,434.89
7.738,434.89
8.006,434.89
8.275,434.89
8.543,434.89
8.810,434.88
9.073,434.89
9.338,434.89
9.604,434.89
9.872,434.89
10.140,434.85
10.409,434.89
10.677,434.89
10.946,434.89
11.208,434.89
11.476,434.89
11.744,434.89
12.013,434.89
12.278,434.89
12.539,434.89
12.805,434.89
13.087,434.89
13.362,434.89
13.632,434.89
13.898,434.89
14.164,434.89
14.428,434.89
14.694,434.89
14.985,434.84
