t_seconds,rss_mb
0.023,235.32
0.294,241.85
0.556,279.39
0.822,329.91
1.086,474.68
1.355,587.21
1.621,549.26
1.888,623.49
2.158,711.56
2.430,791.73
2.695,851.35
2.963,862.10
3.228,831.79
3.493,822.84
3.758,843.00
4.023,838.39
4.291,828.98
4.559,854.23
4.824,844.37
5.092,835.71
5.362,830.14
5.627,855.27
5.894,841.02
6.161,994.43
6.426,1185.05
6.691,965.33
6.962,996.90
7.232,1046.47
7.504,1095.26
7.773,1141.94
8.039,979.21
8.309,1060.14
8.581,1176.08
8.846,1011.74
9.115,1072.00
9.382,1085.65
9.648,1020.23
9.912,1040.15
10.175,1025.22
10.439,1045.38
10.700,1030.86
10.965,1016.38
11.225,1036.43
11.491,1018.77
11.760,983.64
12.026,965.37
12.292,985.48
12.561,970.51
12.827,1054.62
13.113,1197.95
13.401,1072.04
13.672,1208.66
13.940,1034.11
14.205,1049.30
14.474,1064.41
14.745,1079.64
15.010,1100.42
15.278,1115.48
15.542,1130.54
15.803,1145.55
16.070,1160.61
16.338,1176.58
16.604,1188.90
16.872,1203.92
17.140,1218.94
17.410,1233.95
17.684,1252.53
17.948,1008.87
18.218,1019.18
