t_seconds,rss_mb
0.009,991.23
0.267,999.72
0.524,1003.70
0.782,1031.19
1.040,1034.59
1.298,1040.17
1.556,980.90
1.814,986.36
2.072,967.41
2.330,972.95
2.589,1017.95
2.846,1109.34
3.104,1182.93
3.362,1111.39
3.622,1082.92
3.890,1135.72
4.168,1187.24
4.437,1120.46
4.703,1120.46
4.968,1116.13
5.236,1111.18
5.503,1106.48
5.767,1102.34
6.026,1137.39
6.285,1175.34
6.542,1265.52
6.800,1130.77
7.060,1156.10
7.319,1186.93
7.576,1217.04
7.833,1247.11
8.091,1272.24
8.349,1122.16
8.606,1147.21
8.862,1177.27
